Time,Id
6.8218E+0,-762.2871E-9
6.8397E+0,-763.0410E-9
6.8576E+0,-762.1824E-9
6.8756E+0,-761.5961E-9
6.8935E+0,-760.9469E-9
6.9114E+0,-760.7794E-9
6.9293E+0,-760.2977E-9
6.9473E+0,-763.2923E-9
6.9651E+0,-765.8473E-9
6.9831E+0,-768.4022E-9
7.0010E+0,-770.3498E-9
7.0189E+0,-772.6325E-9
7.0368E+0,-774.3288E-9
7.0547E+0,-773.1560E-9
7.0726E+0,-772.5487E-9
7.0906E+0,-772.0461E-9
7.1085E+0,-771.7948E-9
7.1264E+0,-771.3132E-9
7.1444E+0,-773.1142E-9
7.1622E+0,-775.5434E-9
7.1802E+0,-777.6167E-9
7.1981E+0,-780.0250E-9
7.2160E+0,-782.1401E-9
7.2339E+0,-784.5276E-9
7.2518E+0,-782.9778E-9
7.2698E+0,-782.4333E-9
7.2877E+0,-782.0564E-9
7.3056E+0,-781.8261E-9
7.3235E+0,-781.5956E-9
7.3415E+0,-783.0407E-9
7.3594E+0,-785.7421E-9
7.3773E+0,-787.7317E-9
7.3952E+0,-790.0352E-9
7.4131E+0,-792.1504E-9
7.4310E+0,-793.9305E-9
7.4490E+0,-792.9881E-9
7.4669E+0,-792.0876E-9
7.4848E+0,-791.9201E-9
7.5027E+0,-791.5222E-9
7.5206E+0,-791.2080E-9
7.5386E+0,-792.1086E-9
7.5565E+0,-794.4332E-9
7.5744E+0,-796.2760E-9
7.5923E+0,-798.1608E-9
7.6102E+0,-800.6319E-9
7.6281E+0,-802.7262E-9
7.6461E+0,-802.0770E-9
7.6640E+0,-801.3230E-9
7.6819E+0,-800.9880E-9
7.6998E+0,-800.6319E-9
7.7177E+0,-800.1921E-9
7.7356E+0,-800.4853E-9
7.7535E+0,-803.1450E-9
7.7714E+0,-805.3020E-9
7.7893E+0,-807.3962E-9
7.8072E+0,-809.4066E-9
7.8252E+0,-811.8988E-9
7.8431E+0,-811.4171E-9
7.8610E+0,-810.5375E-9
7.8789E+0,-810.2443E-9
7.8968E+0,-809.8255E-9
7.9148E+0,-809.6370E-9
7.9327E+0,-809.2182E-9
7.9506E+0,-812.6946E-9
7.9685E+0,-815.2495E-9
7.9865E+0,-817.1551E-9
8.0044E+0,-818.8934E-9
8.0223E+0,-820.6106E-9
8.0402E+0,-820.7991E-9
8.0581E+0,-819.9823E-9
8.0760E+0,-819.5216E-9
8.0940E+0,-818.7677E-9
8.1119E+0,-818.7886E-9
8.1298E+0,-818.3699E-9
8.1477E+0,-820.5269E-9
8.1656E+0,-822.2441E-9
8.1836E+0,-823.9404E-9
8.2015E+0,-826.2859E-9
8.2194E+0,-828.5267E-9
8.2373E+0,-828.9874E-9
8.2552E+0,-827.9613E-9
8.2731E+0,-827.3120E-9
8.2911E+0,-827.1027E-9
8.3090E+0,-826.8304E-9
8.3269E+0,-826.6001E-9
8.3448E+0,-828.5476E-9
8.3627E+0,-831.0188E-9
8.3806E+0,-832.9665E-9
8.3986E+0,-834.8092E-9
8.4165E+0,-836.5056E-9
8.4344E+0,-837.9297E-9
8.4523E+0,-836.6941E-9
8.4702E+0,-835.9192E-9
8.4882E+0,-835.4795E-9
8.5061E+0,-835.1863E-9
8.5240E+0,-834.8092E-9
8.5419E+0,-836.3381E-9
8.5598E+0,-838.2228E-9
8.5777E+0,-840.0867E-9
8.5957E+0,-841.7829E-9
8.6136E+0,-843.4374E-9
8.6315E+0,-845.1965E-9
8.6494E+0,-843.8353E-9
8.6673E+0,-843.3117E-9
8.6852E+0,-843.0395E-9
8.7032E+0,-842.5159E-9
8.7210E+0,-842.3066E-9
8.7389E+0,-843.2280E-9
8.7569E+0,-845.4059E-9
8.7747E+0,-846.8928E-9
8.7927E+0,-849.4478E-9
8.8106E+0,-851.3745E-9
8.8285E+0,-853.0288E-9
8.8465E+0,-851.8980E-9
8.8644E+0,-851.3953E-9
8.8823E+0,-851.0812E-9
8.9002E+0,-850.6414E-9
8.9181E+0,-850.1807E-9
8.9360E+0,-850.5786E-9
8.9540E+0,-853.2173E-9
8.9719E+0,-854.6205E-9
8.9898E+0,-856.0026E-9
9.0077E+0,-857.3219E-9
9.0256E+0,-858.6413E-9
9.0435E+0,-857.9711E-9
9.0614E+0,-857.4476E-9
9.0794E+0,-856.5261E-9
9.0973E+0,-856.6099E-9
9.1152E+0,-856.2539E-9
9.1331E+0,-855.8560E-9
9.1511E+0,-858.3062E-9
9.1690E+0,-859.8559E-9
9.1869E+0,-861.9292E-9
9.2048E+0,-863.5417E-9
9.2227E+0,-865.1333E-9
